Query	Taxid	Tax name	Authority	Rank	Basionym	Basionym authority	Curator common name	Has type material	Group name	Domain/Realm name	Domain/Realm taxid	Kingdom name	Kingdom taxid	Phylum name	Phylum taxid	Class name	Class taxid	Order name	Order taxid	Family name	Family taxid	Genus name	Genus taxid	Species name	Species taxid	Scientific name is formal
1677980	1677980	Halocafeteria sp. S13		SPECIES				no	heterokonts	Eukaryota	2759					Bigyra	2683628	Bicosoecida	33651			Halocafeteria	357349	Halocafeteria sp. S13	1677980	FALSE
1677981	1677981	Halocafeteria sp. S14B		SPECIES				no	heterokonts	Eukaryota	2759					Bigyra	2683628	Bicosoecida	33651			Halocafeteria	357349	Halocafeteria sp. S14B	1677981	FALSE
1677982	1677982	Halocafeteria sp. S15B		SPECIES				no	heterokonts	Eukaryota	2759					Bigyra	2683628	Bicosoecida	33651			Halocafeteria	357349	Halocafeteria sp. S15B	1677982	FALSE
1677983	1677983	Halocafeteria sp. S16		SPECIES				no	heterokonts	Eukaryota	2759					Bigyra	2683628	Bicosoecida	33651			Halocafeteria	357349	Halocafeteria sp. S16	1677983	FALSE
1677984	1677984	Halocafeteria sp. SD1A		SPECIES				no	heterokonts	Eukaryota	2759					Bigyra	2683628	Bicosoecida	33651			Halocafeteria	357349	Halocafeteria sp. SD1A	1677984	FALSE
1677985	1677985	Halocafeteria sp. W1-24		SPECIES				no	heterokonts	Eukaryota	2759					Bigyra	2683628	Bicosoecida	33651			Halocafeteria	357349	Halocafeteria sp. W1-24	1677985	FALSE
1677986	1677986	Halocafeteria sp. WVII 10/2 300		SPECIES				no	heterokonts	Eukaryota	2759					Bigyra	2683628	Bicosoecida	33651			Halocafeteria	357349	Halocafeteria sp. WVII 10/2 300	1677986	FALSE
1677987	1677987	Halocafeteria sp. WVII 10/2 320		SPECIES				no	heterokonts	Eukaryota	2759					Bigyra	2683628	Bicosoecida	33651			Halocafeteria	357349	Halocafeteria sp. WVII 10/2 320	1677987	FALSE
1678346	1678346	Amphifilaceae		FAMILY				no	slime nets	Eukaryota	2759					Bigyra	2683628	Amphifilida	2699529	Amphifilaceae	1678346					TRUE
1678360	1678360	Synura sp. BYJ-2015		SPECIES				no	heterokonts	Eukaryota	2759					Synurophyceae	33859	Synurales	420622	Mallomonadaceae	420617	Synura	2991	Synura sp. BYJ-2015	1678360	FALSE
1678526	1678526	Labyrinthula sp.		SPECIES				no	slime nets	Eukaryota	2759					Bigyra	2683628	Labyrinthulida	2699527	Labyrinthulaceae	35132	Labyrinthula	35133	Labyrinthula sp.	1678526	FALSE
1678641	1678641	Pythium sp. Ten8-1		SPECIES				no	oomycetes	Eukaryota	2759			Oomycota	4762	Peronosporomycetes	3418804	Pythiales	121069	Pythiaceae	4782	Pythium	4797	Pythium sp. Ten8-1	1678641	FALSE
1678642	1678642	Pythium sp. Ten2		SPECIES				no	oomycetes	Eukaryota	2759			Oomycota	4762	Peronosporomycetes	3418804	Pythiales	121069	Pythiaceae	4782	Pythium	4797	Pythium sp. Ten2	1678642	FALSE
1678921	1678921	uncultured pennate diatom		SPECIES				no	diatoms	Eukaryota	2759			Bacillariophyta	2836									uncultured pennate diatom	1678921	FALSE
1679947	1679947	Peronospora cf. fagopyri MK-2015		SPECIES				no	downy mildews	Eukaryota	2759			Oomycota	4762	Peronosporomycetes	3418804	Peronosporales	4776	Peronosporaceae	4777	Peronospora	70742	Peronospora cf. fagopyri MK-2015	1679947	FALSE
1682048	1682048	Lagenisma	Drebes 1968	GENUS				no	oomycetes	Eukaryota	2759			Oomycota	4762	Saprolegniomycetes	3456997	Leptomitales	92979	Leptomitaceae	3457202	Lagenisma	1682048			TRUE
